objectid_1,objectid,po_legalst,po_legal_1,po_hgu,po_area_hg,subgroup,groupid,source,zsl,group_comp,shape_leng,type,area_ha,country,company,name,gfwid,globalid,shape_Length,shape_Area
562,562,Ijin Lokasi,Ijin Lokasi, ,0, ,99,varies,0,No group,50774.9961847,Ijin Lokasi,7119,IDN,PT. Putra Mentaya,PT. Putra Mentaya,22214328-8992-45f8-85f3-2eae7cecef67,{8909C4E7-25A1-4D87-86C7-C01F330F8CD8},50774.9961768528,71703228.6475988
563,563,Ijin Lokasi,Ijin Lokasi, ,0, ,99,varies,0,No group,88979.5364882,Ijin Lokasi,17028,IDN,PT. Madana Sawit,PT. Madana Sawit,cb1d96f1-97b5-4c08-b432-3e39ad514897,{6A3AB5F7-FC33-417F-8349-7FB4FDF464CB},88979.5365461722,171442908.286902
564,564,Ijin Lokasi,Ijin Lokasi, ,0, ,99,varies,0,No group,12116.2024441,Ijin Lokasi,421,IDN,PT. Centar Borneo Agro Persada,PT. Centar Borneo Agro Persada 1,f54fc47f-f5ab-4c80-9e1b-10a1fcebf654,{079685F3-8814-41A0-96D4-25D1DA788BE6},12116.2024458679,4248227.22550931
565,565,Ijin Lokasi,Ijin Lokasi, ,0, ,99,varies,0,No group,59641.0566148,Ijin Lokasi,15358,IDN,PT. Karya Dewi Putra,PT. Karya Dewi Putra,c0e0663f-d88e-4e7e-ad1d-bcc258fcee75,{6769F743-2524-4D65-A468-652CBCABACF5},59641.0565598054,154681770.726331
566,566,Ijin Lokasi,Ijin Lokasi, ,0, ,99,varies,0,No group,74922.7285818,Ijin Lokasi,16076,IDN,PT. Wanakasta Nusantara,PT. Wanakasta Nusantara,958a3e6c-520d-428a-9a10-92a571944947,{4ECBBF04-14FD-4D5F-BA2A-C685AB52B4E0},74922.7285202672,161929184.979406
567,567,Ijin Lokasi,Ijin Lokasi, ,0, ,99,varies,0,No group,33537.72276,Ijin Lokasi,2834,IDN,PT. Agro Buana Inti Lestari,PT. Agro Buana Inti Lestari,847e5a1c-90f1-48d6-a924-4e0cb6dab4b1,{2C7C1817-6857-4E75-8412-DB31D3B9F4AF},33537.7226522205,28542548.0246877
568,568,Ijin Lokasi,Ijin Lokasi, ,0, ,5,varies,0,Astra International,13869.0223329,Ijin Lokasi,379,IDN,PT. Nirmala Agro Lestari,PT. Nirmala Agro Lestari 3,3dcb9af8-4889-4d66-9cf6-8ce5194af84e,{2DBB26BD-C100-4950-8BAA-D4EB5D69842F},13869.0224340112,3824149.12022243
569,569,Ijin Lokasi,Ijin Lokasi, ,0, ,5,varies,0,Astra International,3035.72135327,Ijin Lokasi,32,IDN,PT. Nirmala Agro Lestari,PT. Nirmala Agro Lestari 4,dd8888b8-9b0d-40f6-914e-d6e3e90d5fd2,{01003CBA-DD64-4D6D-AE7F-3B0DD807DEBE},3035.72148113506,321044.265803746
570,570,Ijin Lokasi,Ijin Lokasi, ,0, ,99,varies,0,No group,35131.9940718,Ijin Lokasi,6569,IDN,PT. Betang PTT,PT. Betang PTT,6286dee9-1dd1-4208-904c-0293eb565d49,{ED3F39F3-1FA6-4252-BA03-49169F558009},35131.9940941729,66358855.2411519
571,571,Ijin Lokasi,Ijin Lokasi, ,0, ,99,varies,0,No group,37481.7967995,Ijin Lokasi,3908,IDN,PT. Subur Sawit,PT. Subur Sawit 1,a3b02eae-befa-4af9-bd3c-0ad5bfb8d0b7,{0F852A33-F7D5-4F20-8BEB-40BD68D15F6F},37481.7968759357,39398744.2365078
572,572,Ijin Lokasi,Ijin Lokasi, ,0, ,99,varies,0,No group,8551.17064211,Ijin Lokasi,343,IDN,PT. Dagang Industri,PT. Dagang Industri,14bd5444-df8a-4235-82d6-71a0ceeb53df,{94600E0B-A913-424D-8C70-C0C96B973F73},8551.17061792434,3456839.38574547
573,573,Ijin Lokasi,Ijin Lokasi, ,0, ,99,varies,0,No group,11929.181703,Ijin Lokasi,822,IDN,PT. P4S Graha Inti Jaya,PT. P4S Graha Inti Jaya 1,9a60d1ee-45b4-4054-a9f4-4d1eb4abd0b3,{A7369CC1-75C0-496B-AF43-B24AC9E315A8},11929.1817934235,8295768.85130671
574,574,Ijin Lokasi,Ijin Lokasi, ,0, ,41,varies,0,Mantimin Coal Mining,12423.8216282,Ijin Lokasi,949,IDN,PT. Multi Persada Gatra Megah II,PT. Multi Persada Gatra Megah II 1,16ba82fe-6229-4638-8c88-e7ee3641f931,{FB23C2DC-4FCF-46ED-8413-87AD2BDC0B79},12423.8214582199,9556937.29947215
575,575,Ijin Lokasi,Ijin Lokasi, ,0, ,43,varies,0,Mitra Jaya Group,65405.4811698,Ijin Lokasi,20795,IDN,PT. Mitra Abadi Makmur Pratama,PT. Mitra Abadi Makmur Pratama 1,dc558e67-fb44-4414-9937-edf886b3c891,{E215EC34-1E3C-46D5-A954-67DBE16F23C4},65405.4810524965,209584267.461457
